11245876	DarkMaster	3	0	60	0	028671
10000000	xXSephirothXx	0	1	10	45	748513
84576153	Scobomb	2	2	60	0	748513
11235813	Boromir	1	3	45	100	928126
47293785	Aragorn	1	4	50	200	928126
73892781	Faramir	1	5	43	300	028671
34238734	Zoolander	3	6	11	111	019274
55555555	FiveFive	2	7	5	555	864722
09384228	Burgundy	2	8	17	1000	864722
62846129	Factorio	0	0	60	0	475186
38192845	Gillan	1	1	60	0	475186
73927161	Oswald	3	2	60	0	475186
15264173	Bautista	0	3	60	0	019274
63718191	TheMother	3	4	60	0	475186
72927111	Bowie	1	5	60	0	185470
55511224	Grog	2	6	55	12000	028671
44121133	Scanlon	0	7	47	10110	028671
99999999	Keg	1	8	45	12345	028671
88888888	Beauregard	2	0	46	777	028671
77777777	Nott	3	1	44	234	028671
